Component,Volume (in³),Material,Vertices,Faces,Quantity
Tank-L,3761.9964863,Not specified,13032,12972,1
Tank-C,4823.8228552,Not specified,4520,4424,1
Tank-Lid,901.5402226,Not specified,3080,3048,1
Inspection Plate-16'''' x 30'''' With Explosion Relief Device_With Hole,110.2152609,Not specified,9332,9320,1
Tank-Base_Default<As Machined>,598.1527266,Not specified,4464,4284,1
Jacking Pad 6'''' X 3'''' X .375'''' WITH T,14.2429001,Not specified,917,1134,1
Jacking Pad 6'''' X 3'''' X .375'''' WITH T_1,14.2429001,Not specified,917,1134,1
Jacking Pad 6'''' X 3'''' X .375'''' WITH T_2,14.2429001,Not specified,917,1134,1
Jacking Pad 6'''' X 3'''' X .375'''' WITH T_3,14.2429001,Not specified,917,1134,1
VT-5695-2x3.5 Ground Pad,3.3603673,Not specified,624,612,1
VT-5695-2x3.5 Ground Pad_1,3.3603673,Not specified,624,612,1
Brace-rear,266.0836655,Not specified,4156,7304,1
Brace-Side,99.5750479,Not specified,4156,7304,1
Brace-Side_1,99.5750479,Not specified,4156,7304,1
VT-5695-2x3.5 Ground Pad_2,3.3603673,Not specified,624,612,1
VT-6064 Pipe Flange 1'''',1.7538377,Not specified,5676,8620,1
VT-6060-.25 Pipe Flange,0.5345427,Not specified,5050,8568,1
VT-6063-.75'''' Pipe Flange,1.1922966,Not specified,5140,7824,1
VT-5531-Oil Gauge Mounting Boss- 8 Hole,5.788644,Not specified,4104,4864,1
VT-5676-H.V Parking Stands,0.6221587,Not specified,790,884,1
VT-5657-M-D-3000 Lifting Lug,33.4273537,Not specified,1088,1060,1
VT-5657-M-D-3000 Lifting Lug_1,33.4273537,Not specified,1088,1060,1
VT-5657-M-D-3000 Lifting Lug_2,33.4273537,Not specified,1088,1060,1
VT-5657-M-D-3000 Lifting Lug_3,33.4273537,Not specified,1088,1060,1
Bottom tank Angle bracket,3.4249964,Not specified,180,152,1
Bottom tank Angle bracket_1,3.4249964,Not specified,180,152,1
VT-5676-H.V Parking Stands_1,0.6221587,Not specified,790,884,1
VT-5676-H.V Parking Stands_2,0.6221587,Not specified,790,884,1
VT-5676-H.V Parking Stands_3,0.6221587,Not specified,790,884,1
VT-5676-H.V Parking Stands_4,0.6221587,Not specified,790,884,1
VT-5676-H.V Parking Stands_5,0.6221587,Not specified,790,884,1
VT-5531-Oil Gauge Mounting Boss- 8 Hole_1,5.788644,Not specified,4104,4864,1
VT-5676-H.V Parking Stands_6,0.6221587,Not specified,790,884,1
VT-5695-2x3.5 Ground Pad_3,3.3603673,Not specified,624,612,1
VT-5695-2x3.5 Ground Pad_4,3.3603673,Not specified,624,612,1
VT-5695-2x3.5 Ground Pad_5,3.3603673,Not specified,624,612,1
VT-5676-H.V Parking Stands_7,0.6221587,Not specified,790,884,1
VT-5676-H.V Parking Stands_8,0.6221587,Not specified,790,884,1
Brace-rear_1,266.0836655,Not specified,4156,7304,1
Brace-rear_2,266.0836655,Not specified,4156,7304,1
Brace-Side_2,99.5750479,Not specified,4156,7304,1
Brace-Side_3,99.5750479,Not specified,4156,7304,1
Brace-Side_4,99.5750479,Not specified,4156,7304,1
Brace-Side_5,99.5750479,Not specified,4156,7304,1
Visible break chamber_Default<As Machined>,243.6426467,Not specified,3820,3672,1
Top flat,509.382223,Not specified,400,356,1
4x4x.375-Angle left side top_Default<As Machined>,41.445883,Not specified,2150,2128,2
Lug,4.0181302,Not specified,482,468,1
3x 1.375-Channel -3in_Default<As Machined>,5.2182842,Not specified,668,640,4
Lug_1,4.0181302,Not specified,482,468,1
Rod .75,3.9733546,Not specified,396,388,1
Rod .75_1,3.9733546,Not specified,396,388,1
4X4X375 Angle_Default<As Machined>,66.7854553,Not specified,1226,1204,4
Rod .75_2,3.9733546,Not specified,396,388,1
Rod .75_3,3.9733546,Not specified,396,388,1
Bottom flat,561.9759171,Not specified,400,356,1
Core B_CORE-2,6363.0443636,Not specified,96,64,1
Core B_CORE-2_1,6363.0443636,Not specified,96,64,1
core_First Instance,5612.0122453,Not specified,96,64,1
core_First Instance_1,5612.0122453,Not specified,96,64,1
WDG,14564.9061091,Not specified,696,672,1
WDG_1,14564.9061091,Not specified,696,672,1
WDG_2,14564.9061091,Not specified,696,672,1
Gusset-3'''' x 3'''' x .5'''',2.2432685,Not specified,100,88,1
Gusset-3'''' x 3'''' x .5''''_1,2.2432685,Not specified,100,88,1
